name,smiles,dose_mg,cmax_mg_L,log_cmax_per_dose,n_studies,in_platinum
pemigatinib,CCN1C(=O)N(c2c(F)c(OC)cc(OC)c2F)Cc2cnc3[nH]c(CN4CCOCC4)cc3c21,9.0,0.05275548386869904,-2.2319748987373056,4,False
bupropion,CC(NC(C)(C)C)C(=O)c1cccc(Cl)c1,100.0,0.13908501027979212,-2.8567196730529583,4,False
rosuvastatin,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@@H](O)C[C@@H](O)CC(=O)O,40.0,0.06262273948010284,-2.805327929083979,4,False
dihydrotetrabenazine (htbz),COc1cc2c(cc1OC)C1CC(O)C(CC(C)C)CN1CC2,25.0,0.059624320706849414,-2.6225165644636563,4,False
telithromycin,CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(OC)C[C@@H](C)C(=O)[C@H](C)[C@H]2N(CCCCn3cnc(-c4cccnc4)c3)C(=O)O[C@]12C,800.0,2.00824635784909,-2.6002729989912465,4,False
filgotinib,O=C(Nc1nc2cccc(-c3ccc(CN4CCS(=O)(=O)CC4)cc3)n2n1)C1CC1,200.0,1.737872694765452,-2.0610120359712703,4,False
ezogabine (retigabine),CCOC(=O)Nc1ccc(NCc2ccc(F)cc2)cc1N,200.0,0.6334972280151897,-2.499285276776551,4,False
cefuroxime,CO/N=C(\C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(COC(N)=O)CS[C@H]12)c1ccco1,500.0,5.365017253045262,-1.9693988814095744,4,False
zolpidem,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1,10.0,0.12755852370710566,-1.8942905156878413,4,True
bromazepam,O=C1CN=C(c2ccccn2)c2cc(Br)ccc2N1,6.0,0.0793061098993025,-1.8788446028726709,4,False
desipramine,CNCCCN1c2ccccc2CCc2ccccc21,50.0,0.018343240308200837,-3.4354939487015934,4,False
enzalutamide,CNC(=O)c1ccc(N2C(=S)N(c3ccc(C#N)c(C(F)(F)F)c3)C(=O)C2(C)C)cc1F,160.0,4.5548597360319505,-1.5456449749594778,4,False
anastrozole,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,1.0,0.018659392275011823,-1.7291025050647,4,False
canagliflozin,Cc1ccc([C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1Cc1ccc(-c2ccc(F)cc2)s1,300.0,2.8103023683123984,-2.0283682053395125,4,False
cobimetinib,O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1,20.0,0.015378308351100942,-3.1141214309520535,4,False
cefpodoxime,COCC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)/C(=N\OC)c3csc(N)n3)[C@H]2SC1,100.0,1.258912136198182,-1.9000045797379461,4,False
eslicarbazepine,NC(=O)N1c2ccccc2C[C@H](O)c2ccccc21,600.0,8.031727177348536,-1.873342302498089,4,False
stavudine (d4t),Cc1cn([C@H]2C=C[C@@H](CO)O2)c(=O)[nH]c1=O,40.0,0.9477504670723025,-1.6253659841995522,4,False
rabeprazole,COCCCOc1ccnc(C[S+]([O-])c2nc3ccccc3[nH]2)c1C,20.0,0.3664653615865635,-1.7369970643887231,4,False
meloxicam,Cc1cnc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)s1,7.5,0.7496441014900894,-1.0002061352579854,4,False
pomalidomide,Nc1cccc2c1C(=O)N(C1CCC(=O)NC1=O)C2=O,4.0,0.05935458298953788,-1.828605733239996,4,True
rizatriptan (mk-462),CN(C)CCc1c[nH]c2ccc(Cn3cncn3)cc12,10.0,0.027785050471777317,-2.556188809978315,4,False
lacosamide,COC[C@@H](NC(C)=O)C(=O)NCc1ccccc1,200.0,5.416348383459763,-1.5673234049521516,4,False
montelukast,CC(C)(O)c1ccccc1CC[C@@H](SCC1(CC(=O)O)CC1)c1cccc(/C=C/c2ccc3ccc(Cl)cc3n2)c1,10.0,0.3883646160032476,-1.4107603456398436,4,False
imipramine,CN(C)CCCN1c2ccccc2CCc2ccccc21,50.0,0.02862088469979494,-3.24228695023369,4,False
ondansetron,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,8.0,0.03993933714012471,-2.3016891342383063,4,False
salbutamol (albuterol),CC(C)(C)NCC(O)c1ccc(O)c(CO)c1,4.0,0.012812001774054546,-2.4944430012002083,4,False
rimegepant,N[C@@H]1c2cccnc2[C@H](OC(=O)N2CCC(n3c(=O)[nH]c4ncccc43)CC2)CC[C@H]1c1cccc(F)c1F,75.0,0.6638696869140865,-2.052978424698835,4,False
rasagiline,C#CCN[C@@H]1CCc2ccccc21,2.0,0.011608015588401873,-2.236272013019935,4,False
acyclovir,Nc1nc(=O)c2ncn(COCCO)c2[nH]1,1000.0,5.185030117413928,-2.2852487166541704,4,False
erlotinib,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,150.0,1.233599269314674,-2.084917155589963,4,False
sitagliptin,N[C@@H](CC(=O)N1CCn2c(nnc2C(F)(F)F)C1)Cc1cc(F)c(F)cc1F,200.0,0.8344314532471622,-2.379639329542935,4,False
bromfenac,Nc1c(CC(=O)O)cccc1C(=O)c1ccc(Br)cc1,50.0,4.137691745835626,-1.0822118713338036,4,False
macitentan,CCCNS(=O)(=O)Nc1ncnc(OCCOc2ncc(Br)cn2)c1-c1ccc(Br)cc1,10.0,0.20172185326253728,-1.6952470505367183,4,False
ticagrelor,CCCSc1nc(N[C@@H]2C[C@H]2c2ccc(F)c(F)c2)c2nnn([C@@H]3C[C@H](OCCO)[C@@H](O)[C@H]3O)c2n1,100.0,0.5141932369929334,-2.2888736397817726,4,False
simvastatin acid,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21,20.0,0.0013398465471905175,-4.173974934257831,4,False
tolbutamide,CCCCNC(=O)NS(=O)(=O)c1ccc(C)cc1,500.0,51.95484400958552,-0.9833439591115472,4,False
sulfadiazine,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,500.0,18.236205601242897,-1.4380355243933989,4,False
tucatinib,Cc1cc(Nc2ncnc3ccc(NC4=NC(C)(C)CO4)cc23)ccc1Oc1ccn2ncnc2c1,300.0,0.40287867279978673,-2.871946976982617,4,False
lornoxicam,CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,8.0,0.8249430182572687,-0.9866660356675875,3,False
fedratinib,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,500.0,1.1511831553468352,-2.6378255781620226,3,False
clobazam,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,20.0,0.3924545204031221,-1.7072406598881178,3,False
acipimox,Cc1cnc(C(=O)O)c[n+]1[O-],250.0,3.8797055432471987,-1.8091412433344405,3,False
glipizide,Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,5.0,0.42322730457772245,-1.072396325826589,3,False
mizolastine,CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,10.0,0.321827688822039,-1.4923765935952547,3,False
temazepam,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,20.0,0.5242788465935281,-1.5814676603478064,3,False
deferasirox,O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,1400.0,31.399680849258612,-1.6492028018123568,3,False
eltrombopag,CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\Nc1cccc(-c2cccc(C(=O)O)c2)c1O,50.0,5.752652004132838,-0.9391019013440647,3,False
almotriptan,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,12.5,0.045388103903797515,-2.4399679726163384,3,False
tegaserod,CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,12.0,0.004988292608793563,-3.381229325167107,3,False
clofibric acid,CC(C)(Oc1ccc(Cl)cc1)C(=O)O,500.0,48.72033887992585,-1.0112597039154285,3,False
cefadroxil,CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,1000.0,32.95103850376143,-1.4821308933811792,3,False
desvenlafaxine,CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,50.0,0.11691234577271195,-2.631109629890519,3,False
metronidazole,Cc1ncc([N+](=O)[O-])n1CCO,500.0,9.937063396031094,-1.7017119438146322,3,True
sibutramine,CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1,15.0,0.0028738715167826844,-3.717623910984546,3,False
afatinib,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,40.0,0.02571236415976231,-3.191917981027573,3,False
metformin,CN(C)C(=N)NC(=N)N,500.0,1.356103882975108,-2.5666770448383196,3,True
quizartinib,CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,30.0,0.10270337096065767,-2.465536556345497,3,True
acetazolamide,CC(=O)Nc1nnc(S(N)(=O)=O)s1,250.0,16.657217755207785,-1.1763375454828342,3,False
celecoxib,Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,200.0,0.6832255170437157,-2.4664659176898027,3,False
frovatriptan,CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1,2.5,0.00570473291111446,-2.641704692598699,3,False
etoricoxib,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,120.0,2.248485380641316,-1.7272911778605624,3,False
sumatriptan,CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,200.0,0.0888368850907485,-3.3524366732933513,3,False
clonazepam,O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,2.0,0.014393117467165102,-2.1428751258306873,3,False
nitrazepam,O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,5.0,0.04381596236449001,-2.057337649450285,3,False
ponatinib,Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,45.0,0.05501056731389308,-2.9127663900031306,3,False
axitinib,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,5.0,0.051255385672370035,-1.9892304986101093,3,False
cefprozil,CC=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,250.0,5.5248728020237605,-1.6556177248696569,3,False
thalidomide,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,200.0,1.913368324282755,-2.0192314157013684,3,False
tolterodine,Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,2.0,0.001879625698834387,-3.026958621461573,3,False
gliclazide,Cc1ccc(S(=O)(=O)NC(=O)NN2C[C@H]3CCC[C@H]3C2)cc1,80.0,4.068209423912289,-1.2936866854874427,3,False
buspirone,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,10.0,0.0012389511595793058,-3.9069458135135857,3,True
furosemide,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,40.0,1.7033075605577312,-1.3707669171803725,3,True
irbesartan,CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,300.0,3.0988551061820826,-1.9859199844038051,3,False
timolol,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,10.0,0.03423782919540408,-2.465493778993254,3,False
misoprostol acid,CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,0.4,0.0007344477317432183,-2.736099097427985,3,False
nevirapine,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,200.0,2.1170299575524787,-1.9753029920103327,3,False
acebutolol,CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,400.0,0.738296177906391,-2.733829371203561,3,False
eletriptan,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,30.0,0.07526438531029968,-2.6005317356523756,3,False
finasteride,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,5.0,0.044295924971702545,-2.0526062294381373,3,False
ambroxol,Nc1c(Br)cc(Br)cc1CN[C@H]1CC[C@H](O)CC1,30.0,0.0631117640787247,-2.6770109351224756,3,False
tolvaptan,Cc1ccccc1C(=O)Nc1ccc(C(=O)N2CCC[C@@H](O)c3cc(Cl)ccc32)c(C)c1,30.0,0.23083971564878294,-2.1138107240520227,3,False
olaparib,O=C(c1cc(Cc2n[nH]c(=O)c3ccccc23)ccc1F)N1CCN(C(=O)C2CC2)CC1,300.0,7.165576422098047,-1.6218701225310022,3,False
ofloxacin,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,300.0,3.004842180225289,-1.9992995877177395,3,False
trifluoperazine,CN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,5.0,0.0009856620730287757,-3.7052419585365675,3,False
mirtazapine,CN1CCN2c3ncccc3Cc3ccccc3C2C1,15.0,0.03248949498746152,-2.6643482982758977,3,False
glasdegib,CN1CC[C@@H](NC(=O)Nc2ccc(C#N)cc2)C[C@@H]1c1nc2ccccc2[nH]1,100.0,0.7189751295138462,-2.1432861322898717,3,False
edoxaban,CN1CCc2nc(C(=O)N[C@@H]3C[C@@H](C(=O)N(C)C)CC[C@@H]3NC(=O)C(=O)Nc3ccc(Cl)cn3)sc2C1,60.0,0.26583840789396673,-2.3535335230945393,3,False
atovaquone,O=C1C(O)=C([C@H]2CC[C@H](c3ccc(Cl)cc3)CC2)C(=O)c2ccccc21,500.0,1.6454419657297856,-2.4826874348783874,3,False
vorapaxar,CCOC(=O)N[C@@H]1CC[C@@H]2[C@@H](C1)C[C@H]1C(=O)O[C@H](C)[C@H]1[C@H]2/C=C/c1ccc(-c2cccc(F)c2)cn1,40.0,0.4544962827111824,-1.9445296558153515,3,False
asciminib,O=C(Nc1ccc(OC(F)(F)Cl)cc1)c1cnc(N2CC[C@@H](O)C2)c(-c2ccn[nH]2)c1,40.0,0.5638841369562785,-1.8508701140285906,3,False
famotidine,NC(N)=Nc1nc(CSCCC(N)=NS(N)(=O)=O)cs1,20.0,0.06459226121164821,-2.490849507303649,3,True
loratadine,CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,20.0,0.015396772247574377,-3.113600310021808,3,False
ximelagatran,CCOC(=O)CN[C@@H](C(=O)N1CC[C@H]1C(=O)NCc1ccc(/C(N)=N/O)cc1)C1CCCCC1,50.0,0.4084885708511591,-2.087790094473001,3,False
letrozole,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,2.5,0.035999367478598575,-1.8416451385427393,3,False
levamlodipine,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)[C@@H]1c1ccccc1Cl,5.0,0.0028118916017344855,-3.249971429693763,3,False
perampanel,N#Cc1ccccc1-c1cc(-c2ccccn2)cn(-c2ccccc2)c1=O,12.0,0.3016504588560529,-1.5996772557669896,3,False
ivosidenib,N#Cc1ccnc(N2C(=O)CC[C@H]2C(=O)N(c2cncc(F)c2)[C@H](C(=O)NC2CC(F)(F)C2)c2ccccc2Cl)c1,250.0,1.6098640626968073,-2.191150803021016,3,False
favipiravir,NC(=O)c1nc(F)cnc1O,200.0,5.240712695529575,-1.581639644045007,3,False
alprazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,1.0,0.0182867950963182,-1.7378624013549189,3,False
milnacipran,CCN(CC)C(=O)C1(c2ccccc2)CC1CN,50.0,0.13775666000959066,-2.559857399821306,3,False
oxybutynin,CCN(CC)CC#CCOC(=O)C(O)(c1ccccc1)C1CCCCC1,5.0,0.012267120861149268,-2.61022736017789,3,True
bicalutamide,CC(O)(CS(=O)(=O)c1ccc(F)cc1)C(=O)Nc1ccc(C#N)c(C(F)(F)F)c1,50.0,0.9459657061662258,-1.723094612006885,3,False
sunitinib,CCN(CC)CCNC(=O)c1c(C)[nH]c(/C=C2\C(=O)Nc3ccc(F)cc32)c1C,50.0,0.02429887207079787,-3.3133838897828727,3,False
zaleplon,CCN(C(C)=O)c1cccc(-c2ccnc3c(C#N)cnn23)c1,20.0,0.051575826968405916,-2.5885837954718007,3,False
albendazole sulfoxide,CCC[S+]([O-])c1ccc2[nH]c(NC(=O)OC)nc2c1,400.0,0.576652441562221,-2.841145856145241,3,False
rimantadine,CC(N)C12CC3CC(CC(C3)C1)C2,200.0,0.2149408916293914,-2.968710949555488,3,False
flecainide,O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,200.0,0.35144257368219595,-2.755175624972267,3,False
sildenafil,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12,50.0,0.2600212605888587,-2.283961144907773,3,False
modafinil,NC(=O)C[S+]([O-])C(c1ccccc1)c1ccccc1,200.0,4.675923959713604,-1.6311625556517881,3,False
vardenafil,CCCc1nc(C)c2c(=O)nc(-c3cc(S(=O)(=O)N4CCN(CC)CC4)ccc3OCC)[nH]n12,20.0,0.024434431480457427,-2.913027756976384,3,False
labetalol,CC(CCc1ccccc1)NCC(O)c1ccc(O)c(C(N)=O)c1,200.0,0.13472039137745676,-3.1715966598336527,3,False
metoclopramide,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,10.0,0.041116895037747785,-2.3859796887327827,3,True
tamsulosin,CCOc1ccccc1OCCN[C@H](C)Cc1ccc(OC)c(S(N)(=O)=O)c1,0.4,0.007141611104551801,-1.7482637942734518,3,False
levetiracetam,CC[C@@H](C(N)=O)N1CCCC1=O,1500.0,50.08734773195037,-1.4763632238899287,3,False
procaterol,CC[C@@H](NC(C)C)[C@@H](O)c1ccc(O)c2[nH]c(=O)ccc12,0.1,0.0003341084185540104,-2.4761125812744997,3,False
5-hmt,CC(C)N(CC[C@H](c1ccccc1)c1cc(CO)ccc1O)C(C)C,8.0,0.004491506613248444,-3.250697943523661,3,False
topotecan,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,2.6,0.005369107279930239,-2.685071266299208,3,False
brivaracetam,CCC[C@@H]1CC(=O)N([C@@H](CC)C(N)=O)C1,10.0,0.3069046802717541,-1.5129964885616674,3,False
chlorpropamide,CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1,250.0,30.511752668608455,-0.913472853391381,3,False
roxithromycin,CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@H](N(C)C)[C@H]2O)[C@](C)(O)C[C@@H](C)C(=NOCOCCOC)[C@H](C)[C@@H](O)[C@]1(C)O,150.0,6.096979602977228,-1.3909765169334258,3,False
valdecoxib,Cc1onc(-c2ccccc2)c1-c1ccc(S(N)(=O)=O)cc1,20.0,0.28897116205905704,-1.8401754912587336,3,False
obeticholic acid,CC[C@H]1[C@@H](O)[C@@H]2[C@H](CC[C@]3(C)[C@@H]([C@H](C)CCC(=O)O)CC[C@@H]23)[C@@]2(C)CC[C@@H](O)C[C@@H]12,10.0,0.045474637203197804,-2.3422307570534344,3,False
lesinurad,O=C(O)CSc1nnc(Br)n1-c1ccc(C2CC2)c2ccccc12,400.0,17.94268808316472,-1.3481724839335736,3,False
ixazomib,CC(C)C[C@H](NC(=O)CNC(=O)c1cc(Cl)ccc1Cl)B(O)O,4.0,0.06624763869595017,-1.7808895882601734,3,False
norfloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNCC3)cc21,400.0,1.2028278433504025,-2.5218565186292135,3,False
idelalisib,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(F)c2c(=O)n1-c1ccccc1,150.0,2.239256917063456,-1.8259873346316797,3,False
saxagliptin,N#C[C@@H]1C[C@@H]2C[C@@H]2N1C(=O)[C@@H](N)C12CC3CC(CC(O)(C3)C1)C2,5.0,0.02538360899214673,-2.294416635042786,3,False
vildagliptin,N#C[C@@H]1CCCN1C(=O)CNC12CC3CC(CC(O)(C3)C1)C2,100.0,0.5099150441597413,-2.292502174737413,3,False
abacavir,Nc1nc(NC2CC2)c2ncn([C@H]3C=C[C@@H](CO)C3)c2n1,300.0,2.9835159917153424,-2.002392884704749,3,False
ruxolitinib,N#CC[C@H](C1CCCC1)n1cc(-c2ncnc3[nH]ccc23)cn1,25.0,0.396815691457766,-1.7993511713522443,3,False
ertugliflozin,CCOc1ccc(Cc2cc([C@]34OC[C@](CO)(O3)[C@@H](O)[C@H](O)[C@H]4O)ccc2Cl)cc1,15.0,0.30898348888710386,-1.686155986351905,3,False
r-138727,O=C(O)/C=C1/CN(C(C(=O)C2CC2)c2ccccc2F)CCC1S,10.0,0.13278786844228166,-1.876841600489391,3,False
sofosbuvir,CC(C)OC(=O)[C@H](C)N[P@](=O)(OC[C@H]1O[C@@H](n2ccc(=O)[nH]c2=O)[C@](C)(F)[C@@H]1O)Oc1ccccc1,400.0,0.8981843611113518,-2.6486945023271313,3,False
bilastine,CCOCCn1c(C2CCN(CCc3ccc(C(C)(C)C(=O)O)cc3)CC2)nc2ccccc21,20.0,0.24018138886995385,-1.9204906438220262,3,False
epinastine,NC1=NCC2c3ccccc3Cc3ccccc3N12,20.0,0.013024478085686048,-3.1862696663064645,3,False
repaglinide,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,2.0,0.026143821393901458,-1.8836609277604048,3,False
dapagliflozin,CCOc1ccc(Cc2cc([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)ccc2Cl)cc1,10.0,0.14532876964786473,-1.8376484031657698,3,False
ramipril,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1[C@H](C(=O)O)C[C@@H]2CCC[C@@H]21,5.0,0.01342219533900699,-2.571146449334548,3,False
canrenone,C[C@]12CCC(=O)C=C1C=C[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@@]21CCC(=O)O1,200.0,0.26126193674454945,-2.8839538536975553,3,False
empagliflozin,OC[C@H]1O[C@@H](c2ccc(Cl)c(Cc3ccc(O[C@H]4CCOC4)cc3)c2)[C@H](O)[C@@H](O)[C@@H]1O,50.0,0.5570775560151967,-1.9530543427265181,3,False
tivozanib,COc1cc2nccc(Oc3ccc(NC(=O)Nc4cc(C)on4)c(Cl)c3)c2cc1OC,1.5,0.020964129239101757,-1.8546144306898968,3,False
futibatinib,C=CC(=O)N1CC[C@H](n2nc(C#Cc3cc(OC)cc(OC)c3)c3c(N)ncnc32)C1,20.0,0.14041589471647908,-2.153613724074302,3,False
cabozantinib,COc1cc2nccc(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3)c2cc1OC,140.0,0.5570136607350469,-2.4002621893212086,3,False
sparfloxacin,C[C@@H]1CN(c2c(F)c(N)c3c(=O)c(C(=O)O)cn(C4CC4)c3c2F)C[C@H](C)N1,400.0,1.2159058315234597,-2.5171600499713143,3,False
domperidone,O=c1[nH]c2ccccc2n1CCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1,20.0,0.03718329114336906,-2.7306821685350755,3,False
