name,canon_smiles,dose_mg,cmax_mg_L,log_cmax_per_dose,n_studies,tmax_h,thalf_h,auc_ng_h_ml,f_pct,formulation,is_prodrug,in_holdout
letermovir,COc1cccc(N2CCN(C3=Nc4c(F)cccc4[C@H](CC(=O)O)N3c3cc(C(F)(F)F)ccc3OC)CC2)c1,240.0,11.000000000000002,-1.338818556553381,1,2.25,9.96,62400.0,102.0,,False,False
methocarbamol,COc1ccccc1OCC(O)COC(N)=O,1500.0,23.003388880771464,-1.8142994376553876,2,1.1,1.23,58870.0,,tablet,False,False
carvedilol,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,50.0,0.0919130023446084,-2.7355930517411506,2,0.93,5.35,337.5,22.0,suspension,False,False
bosentan,COc1ccccc1Oc1c(NS(=O)(=O)c2ccc(C(C)(C)C)cc2)nc(-c2ncccn2)nc1OCCO,100.0,1.786,-1.7481185454474724,1,2.2,5.0,8180.0,50.0,suspension,False,False
pantoprazole,COc1ccnc(CS(=O)c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,40.0,2.5,-1.2041199826559248,1,,3.5,,77.0,tablet,False,False
pantoprazole,COc1ccnc(C[S+]([O-])c2nc3ccc(OC(F)F)cc3[nH]2)c1OC,40.0,2.644252238167657,-1.1797571107037197,3,3.0,1.57,6951.4,77.0,enteric-coated tablet,False,False
moxonidine,COc1nc(C)nc(Cl)c1NC1=NCCN1,0.2,0.0013390421609688,-2.1742357442771847,3,0.74,1.98,4.18,88.0,tablet,False,False
Golidocitinib,COc1nn(C)cc1Nc1nccc(-c2c[nH]c3c(NC(=O)[C@@H](C)N4CCN(C)CC4)cccc23)n1,100.0,0.133,-2.876148359032914,1,2.5,50.4,5260.0,,,False,False
lapatinib,CS(=O)(=O)CCNCc1ccc(-c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(Cl)c4)c3c2)o1,100.0,0.115,-2.939302159646388,1,4.0,9.6,1429.0,,tablet,False,False
Iguratimod,CS(=O)(=O)Nc1cc2occ(NC=O)c(=O)c2cc1Oc1ccccc1,75.0,3.59,-1.319966814813381,1,4.33,7.3,62040.0,,,False,False
nimesulide,CS(=O)(=O)Nc1ccc([N+](=O)[O-])cc1Oc1ccccc1,100.0,3.2310060352775576,-1.4906622307519963,2,2.9,3.17,23570.0,,tablet,False,False
busulfan,CS(=O)(=O)OCCCCOS(C)(=O)=O,79.0,1.55458,-1.7060140151752576,1,1.5,3.04,7955.13,,tablet,False,False
laropiprant,CS(=O)(=O)c1cc(F)cc2c3c(n(Cc4ccc(Cl)cc4)c12)[C@@H](CC(=O)O)CC3,40.0,0.9561373577265222,-1.6215397042636042,3,1.0,16.7,5431.36,,tablet,False,False
vismodegib,CS(=O)(=O)c1ccc(C(=O)Nc2ccc(Cl)c(-c3ccccn3)c2)c(Cl)c1,150.0,2.47727,-1.7821179157238738,1,24.0,265.44,1134081.44,31.8,capsule,False,False
rofecoxib,CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,25.0,0.2016307268250551,-2.0933832930328644,2,3.335,10.255,3650.28,93.0,tablet,False,False
Omarigliptin,CS(=O)(=O)n1cc2c(n1)CN([C@H]1CO[C@H](c3cc(F)ccc3F)[C@@H](N)C1)C2,100.0,0.88054,-2.0552509106964783,1,0.75,42.6,34624.0,,,False,False
fexinidazole,CSc1ccc(OCc2ncc([N+](=O)[O-])n2C)cc1,100.0,0.1299999999999999,-2.8860566476931635,1,3.0,9.0,1287.0,,suspension,False,False
thioridazine,CSc1ccc2c(c1)N(CCC1CCCCN1C)c1ccccc1S2,100.0,0.3718,-2.4296906145641204,1,1.48,9.25,2639.3,,tablet,False,False
ergometrine,C[C@@H](CO)NC(=O)[C@@H]1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1,0.2,0.0010399999999999,-2.2839966563652427,1,0.57,1.89,2.99,75.6,tablet,False,False
lisdexamfetamine,C[C@@H](Cc1ccccc1)NC(=O)[C@@H](N)CCCCN,100.0,0.0638,-3.1951793212788377,1,1.0,0.7,94.0,100.0,capsule,False,False
cinacalcet,C[C@@H](NCCCc1cccc(C(F)(F)F)c1)c1cccc2ccccc12,50.0,0.0134397867029641,-3.57057762806321,3,5.0,37.1,181.0,22.5,tablet,False,False
ritodrine,C[C@@H](NCCc1ccc(O)cc1)[C@@H](O)c1ccc(O)cc1,30.0,0.0149199999999999,-3.3033524315830154,1,0.64,5.2,43.99,,tablet,False,False
Evocalcet,C[C@@H](N[C@H]1CCN(c2ccc(CC(=O)O)cc2)C1)c1cccc2ccccc12,20.0,1.4,-1.1549019599857433,1,2.0,18.89,15307.4,,capsule,False,False
rolapitant,C[C@@H](OC[C@@]1(c2ccccc2)CC[C@]2(CCC(=O)N2)CN1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,180.0,0.9474386999325534,-2.278721384766368,3,3.98,155.0,121000.0,,tablet,False,False
aprepitant,C[C@@H](O[C@H]1OCCN(Cc2n[nH]c(=O)[nH]2)[C@H]1c1ccc(F)cc1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,125.0,1.287390516671369,-1.9871997073548169,3,4.0,12.59,34035.0,59.0,capsule,False,False
