drug,smiles,dose_mg,obs_cmax,pred_cmax_pbpk,log_obs_cmax_per_mg,tier
sirolimus,CC1CCC2CC(C(=CC=CC=CC(CC(C(=O)C(C(C(=CC(C(=O)CC(OC(=O)C3CCCCN3C(=O)C(=O)C1(O2)O)C(C)CC4CCC(C(C4)OC)O)C)C)O)OC)C)C)C)OC,10.0,0.014400000000000001,,-6.543112165394228,fda_expanded
tafenoquine,CC1=CC(=NC2=C1C(=C(C=C2NC(C)CCCN)OC)OC3=CC=CC(=C3)C(F)(F)F)OC,100.0,0.147,,-6.522492878191493,fda_expanded
tamsulosin,CCOC1=CC=CC=C1OCCNC(C)CC2=CC(=C(C=C2)OC)S(=O)(=O)N,1.0,0.0101,,-4.595219855134923,fda_expanded
tramadol er,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O.Cl,100.0,0.335,,-5.698794933145162,fda_expanded
trospium,C1CC[N+]2(C1)C3CCC2CC(C3)OC(=O)C(C4=CC=CC=C4)(C5=CC=CC=C5)O,60.0,0.002,,-10.308952660644293,fda_expanded
upadacitinib,CCC1CN(CC1C2=CN=C3N2C4=C(NC=C4)N=C3)C(=O)NCC(F)(F)F,15.0,0.0316,,-6.162648359491481,fda_expanded
valacyclovir,CC(C)C(C(=O)OCCOCN1C=NC2=C1N=C(NC2=O)N)N,20.0,14.4,,-0.3285040669720361,fda_expanded
venlafaxine,CN(C)CC(C1=CC=C(C=C1)OC)C2(CCCCC2)O,75.0,0.15,,-6.214608098422191,fda_expanded
verapamil,CC(C)C(CCCN(C)CCC1=CC(=C(C=C1)OC)OC)(C#N)C2=CC(=C(C=C2)OC)OC,180.0,0.0778,,-7.746570698688002,fda_expanded
vilazodone,C1CN(CCN1CCCCC2=CNC3=C2C=C(C=C3)C#N)C4=CC5=C(C=C4)OC(=C5)C(=O)N,80.0,0.156,,-6.239925906406482,fda_expanded
vonoprazan,CNCC1=CN(C(=C1)C2=CC=CC=C2F)S(=O)(=O)C3=CN=CC=C3,10.0,0.0117,,-6.750751530172472,fda_expanded
vorasidenib,CC(C(F)(F)F)NC1=NC(=NC(=N1)C2=NC(=CC=C2)Cl)NC(C)C(F)(F)F,200.0,0.133,,-7.31572351730842,fda_expanded
voriconazole,CC(C1=NC=NC=C1F)C(CN2C=NC=N2)(C3=C(C=C(C=C3)F)F)O,400.0,3.13,,-4.85043154255592,fda_expanded
