drug,smiles,dose_mg,cmax_mg_L,source,tier
ibuprofen,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,1200.0,19.0,fda_expanded,fda_expanded
indapamide,CC1CC2=CC=CC=C2N1NC(=O)C3=CC(=C(C=C3)Cl)S(=O)(=O)N,5.0,0.115,fda_expanded,fda_expanded
isosorbide mononitrate,C1C(C2C(O1)C(CO2)O[N+](=O)[O-])O,60.0,1.242,fda_expanded,fda_expanded
isotretinoin,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C,80.0,0.57325,gold,gold
itraconazole,CCC(C)N1C(=O)N(C=N1)C2=CC=C(C=C2)N3CCN(CC3)C4=CC=C(C=C4)OCC5COC(O5)(CN6C=NC=N6)C7=C(C=C(C=C7)Cl)Cl,200.0,0.5,gold,gold
ketorolac,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O,10.0,2.52,fda_expanded,fda_expanded
lamivudine,C1C(OC(S1)CO)N2C=CC(=NC2=O)N,300.0,3.17,fda_expanded,fda_expanded
lanthanum carbonate,C(=O)([O-])[O-].C(=O)([O-])[O-].C(=O)([O-])[O-].[La+3].[La+3],87.0,0.001,fda_expanded,fda_expanded
lenacapavir,CC(C)(C#CC1=NC(=C(C=C1)C2=C3C(=C(C=C2)Cl)C(=NN3CC(F)(F)F)NS(=O)(=O)C)C(CC4=CC(=CC(=C4)F)F)NC(=O)CN5C6=C(C7CC7C6(F)F)C(=N5)C(F)(F)F)S(=O)(=O)C,927.0,0.0738,fda_expanded,fda_expanded
levocetirizine,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl,30.0,0.45,gold,gold
lopinavir,CC1=C(C(=CC=C1)C)OCC(=O)NC(CC2=CC=CC=C2)C(CC(CC3=CC=CC=C3)NC(=O)C(C(C)C)N4CCCNC4=O)O,200.0,9.8,fda_expanded,fda_expanded
lorlatinib,CC1C2=C(C=CC(=C2)F)C(=O)N(CC3=NN(C(=C3C4=CC(=C(N=C4)N)O1)C#N)C)C,100.0,0.577,fda_expanded,fda_expanded
losartan,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)CO)Cl,50.0,0.224,gold,gold
mercaptopurine,C1=NC2=C(N1)C(=S)N=CN2,50.0,0.093,fda_expanded,fda_expanded
mesalamine,C1=CC(=C(C=C1N)C(=O)O)O,500.0,0.857,fda_expanded,fda_expanded
metaxalone,CC1=CC(=CC(=C1)OCC2CNC(=O)O2)C,400.0,1.816,fda_expanded,fda_expanded
metformin,CN(C)C(=N)N=C(N)N,500.0,2.849,fda_expanded,fda_expanded
methanol,CO,100.0,1.992178815072387,gold,gold
methylphenidate,COC(=O)C(C1CCCCN1)C2=CC=CC=C2,72.0,0.0197,fda_expanded,fda_expanded
metoclopramide,CCN(CC)CCNC(=O)C1=CC(=C(C=C1OC)N)Cl,60.0,0.044,fda_expanded,fda_expanded
metronidazole,CC1=NC=C(N1CCO)[N+](=O)[O-],250.0,6.0,fda_expanded,fda_expanded
midazolam,Clc1ccc2c(c1)C(=NCc1nccn1C)c1ccccc1N2,2.0,0.02748,gold_clinical,gold_clinical
