canon_smiles,dose_mg,cmax_mg_L,log_cmax_per_dose,name,n_studies
CN1C(C(=O)Nc2ccccn2)=C(O)c2sc(Cl)cc2S1(=O)=O,8.0,0.8249430182572687,-0.9866660356675875,lornoxicam,3
Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,500.0,1.1511831553468352,-2.6378255781620226,fedratinib,3
CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21,20.0,0.3924545204031221,-1.7072406598881178,clobazam,3
Cc1cnc(C(=O)O)c[n+]1[O-],250.0,3.8797055432471987,-1.8091412433344405,acipimox,3
Cc1cnc(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc2)cn1,5.0,0.42322730457772245,-1.072396325826589,glipizide,3
CN(c1nccc(=O)[nH]1)C1CCN(c2nc3ccccc3n2Cc2ccc(F)cc2)CC1,10.0,0.321827688822039,-1.4923765935952547,mizolastine,3
CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21,20.0,0.5242788465935281,-1.5814676603478064,temazepam,3
O=C(O)c1ccc(-n2nc(-c3ccccc3O)nc2-c2ccccc2O)cc1,1400.0,31.399680849258612,-1.6492028018123568,deferasirox,3
CC1=NN(c2ccc(C)c(C)c2)C(=O)/C1=N\Nc1cccc(-c2cccc(C(=O)O)c2)c1O,50.0,5.752652004132838,-0.9391019013440647,eltrombopag,3
CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,12.5,0.045388103903797515,-2.4399679726163384,almotriptan,3
CCCCCNC(=N)N/N=C/c1c[nH]c2ccc(OC)cc12,12.0,0.004988292608793563,-3.381229325167107,tegaserod,3
CC(C)(Oc1ccc(Cl)cc1)C(=O)O,500.0,48.72033887992585,-1.0112597039154285,clofibric acid,3
CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,1000.0,32.95103850376143,-1.4821308933811792,cefadroxil,3
CN(C)CC(c1ccc(O)cc1)C1(O)CCCCC1,50.0,0.11691234577271195,-2.631109629890519,desvenlafaxine,3
Cc1ncc([N+](=O)[O-])n1CCO,500.0,9.937063396031094,-1.7017119438146322,metronidazole,3
CC(C)CC(N(C)C)C1(c2ccc(Cl)cc2)CCC1,15.0,0.0028738715167826844,-3.717623910984546,sibutramine,3
CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,40.0,0.02571236415976231,-3.191917981027573,afatinib,3
CN(C)C(=N)NC(=N)N,500.0,1.356103882975108,-2.5666770448383196,metformin,3
CC(C)(C)c1cc(NC(=O)Nc2ccc(-c3cn4c(n3)sc3cc(OCCN5CCOCC5)ccc34)cc2)no1,30.0,0.10270337096065767,-2.465536556345497,quizartinib,3
CC(=O)Nc1nnc(S(N)(=O)=O)s1,250.0,16.657217755207785,-1.1763375454828342,acetazolamide,3
Cc1ccc(-c2cc(C(F)(F)F)nn2-c2ccc(S(N)(=O)=O)cc2)cc1,200.0,0.6832255170437157,-2.4664659176898027,celecoxib,3
CN[C@@H]1CCc2[nH]c3ccc(C(N)=O)cc3c2C1,2.5,0.00570473291111446,-2.641704692598699,frovatriptan,3
Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1,120.0,2.248485380641316,-1.7272911778605624,etoricoxib,3
CNS(=O)(=O)Cc1ccc2[nH]cc(CCN(C)C)c2c1,200.0,0.0888368850907485,-3.3524366732933513,sumatriptan,3
O=C1CN=C(c2ccccc2Cl)c2cc([N+](=O)[O-])ccc2N1,2.0,0.014393117467165102,-2.1428751258306873,clonazepam,3
O=C1CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc2N1,5.0,0.04381596236449001,-2.057337649450285,nitrazepam,3
Cc1ccc(C(=O)Nc2ccc(CN3CCN(C)CC3)c(C(F)(F)F)c2)cc1C#Cc1cnc2cccnn12,45.0,0.05501056731389308,-2.9127663900031306,ponatinib,3
CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,5.0,0.051255385672370035,-1.9892304986101093,axitinib,3
CC=CC1=C(C(=O)O)N2C(=O)[C@@H](NC(=O)[C@H](N)c3ccc(O)cc3)[C@H]2SC1,250.0,5.5248728020237605,-1.6556177248696569,cefprozil,3
O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,200.0,1.913368324282755,-2.0192314157013684,thalidomide,3
Cc1ccc(O)c([C@H](CCN(C(C)C)C(C)C)c2ccccc2)c1,2.0,0.001879625698834387,-3.026958621461573,tolterodine,3
Cc1ccc(S(=O)(=O)NC(=O)NN2C[C@H]3CCC[C@H]3C2)cc1,80.0,4.068209423912289,-1.2936866854874427,gliclazide,3
O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(c2ncccn2)CC1,10.0,0.0012389511595793058,-3.9069458135135857,buspirone,3
NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,40.0,1.7033075605577312,-1.3707669171803725,furosemide,3
CCCCC1=NC2(CCCC2)C(=O)N1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,300.0,3.0988551061820826,-1.9859199844038051,irbesartan,3
CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1,10.0,0.03423782919540408,-2.465493778993254,timolol,3
CCCCC(C)(O)C/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1CCCCCCC(=O)O,0.4,0.0007344477317432183,-2.736099097427985,misoprostol acid,3
Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1,200.0,2.1170299575524787,-1.9753029920103327,nevirapine,3
CCCC(=O)Nc1ccc(OCC(O)CNC(C)C)c(C(C)=O)c1,400.0,0.738296177906391,-2.733829371203561,acebutolol,3
